experiment_type,dataset,model,mrr@10,relative_mrr@10_to_dataset_best,hit@10,ndcg@10,runtime_seconds,top10_item_share,top1_percent_item_share,item_popularity_gini,avg_interactions_per_user_or_session,repeat_item_share_within_user_or_session,popularity_profile,sequence_context_profile,interpretation
session,yoochoose_recbole_sample,VS-KNN,0.2554,0.9210241615578796,0.4639,0.3053,263.49,0.02538810155240621,0.2093568374273497,0.7795352826849896,3.952678345560334,0.20007080028320112,moderately concentrated popularity,short sessions with repeated items,"The model can still exploit co-occurrences, but very short sessions limit neighborhood evidence."
session,yoochoose_recbole_sample,GRU4Rec,0.2469,0.8903714388748648,0.4818,0.3027,32.13,0.02538810155240621,0.2093568374273497,0.7795352826849896,3.952678345560334,0.20007080028320112,moderately concentrated popularity,short sessions with repeated items,"The neural model is competitive but not clearly dominant, suggesting that simpler sequence neighborhoods may capture enough signal."
session,yoochoose_recbole_sample,DecayPop,0.0084,0.0302921024161557,0.0216,0.0115,8.91,0.02538810155240621,0.2093568374273497,0.7795352826849896,3.952678345560334,0.20007080028320112,moderately concentrated popularity,short sessions with repeated items,Global popularity does not explain the next interaction well; session or personalization signals dominate.
session,yoochoose_recbole_sample,MostPop,0.008,0.0288496213487198,0.0215,0.0112,7.25,0.02538810155240621,0.2093568374273497,0.7795352826849896,3.952678345560334,0.20007080028320112,moderately concentrated popularity,short sessions with repeated items,Global popularity does not explain the next interaction well; session or personalization signals dominate.
session,yoochoose_recbole_sample,RecentPop,0.008,0.0288496213487198,0.0212,0.0111,7.26,0.02538810155240621,0.2093568374273497,0.7795352826849896,3.952678345560334,0.20007080028320112,moderately concentrated popularity,short sessions with repeated items,Global popularity does not explain the next interaction well; session or personalization signals dominate.
topn,amazon_recbole,BPR,0.0519,1.0,0.0754,0.0573,12903.07,0.02358136818759417,0.36465219718432107,0.8316818473505683,3.4163763179490783,0.026310860639043848,moderately concentrated popularity,very short session context,The latent factor model benefits from repeated user-item history and personalization signal.
topn,amazon_recbole,DecayPop,0.01,0.1926782273603083,0.026,0.0136,1670.23,0.02358136818759417,0.36465219718432107,0.8316818473505683,3.4163763179490783,0.026310860639043848,moderately concentrated popularity,very short session context,Global popularity does not explain the next interaction well; session or personalization signals dominate.
topn,amazon_recbole,MostPop,0.0091,0.1753371868978805,0.0236,0.0124,1663.41,0.02358136818759417,0.36465219718432107,0.8316818473505683,3.4163763179490783,0.026310860639043848,moderately concentrated popularity,very short session context,Global popularity does not explain the next interaction well; session or personalization signals dominate.
topn,amazon_recbole,RecentPop,0.0034,0.0655105973025048,0.0131,0.0055,1730.85,0.02358136818759417,0.36465219718432107,0.8316818473505683,3.4163763179490783,0.026310860639043848,moderately concentrated popularity,very short session context,Global popularity does not explain the next interaction well; session or personalization signals dominate.
topn,movielens_recbole,BPR,0.1546,1.0,0.3546,0.084,5134.07,0.029087867494542445,0.3348402468507539,0.902942497565131,144.4135299257002,0.0,highly concentrated popularity,long user histories,The latent factor model benefits from repeated user-item history and personalization signal.
topn,movielens_recbole,DecayPop,0.1065,0.6888745148771023,0.251,0.0558,423.75,0.029087867494542445,0.3348402468507539,0.902942497565131,144.4135299257002,0.0,highly concentrated popularity,long user histories,Popularity is a meaningful signal on this dataset; the model benefits from item concentration.
topn,movielens_recbole,MostPop,0.1062,0.6869340232858991,0.2479,0.0555,284.62,0.029087867494542445,0.3348402468507539,0.902942497565131,144.4135299257002,0.0,highly concentrated popularity,long user histories,Popularity is a meaningful signal on this dataset; the model benefits from item concentration.
topn,movielens_recbole,RecentPop,0.0776,0.5019404915912031,0.1997,0.0395,339.24,0.029087867494542445,0.3348402468507539,0.902942497565131,144.4135299257002,0.0,highly concentrated popularity,long user histories,Popularity is a meaningful signal on this dataset; the model benefits from item concentration.
